,index,y_pred,y_test
0,12,0.32548752,-0.7469219787168193
1,26,0.32548752,1.985984233471191
2,45,0.32548752,-0.804578227919098
3,64,0.32548752,-0.9343047886242252
4,66,0.32548752,0.3716092558073876
5,67,0.32548752,-0.6690860422937431
6,69,0.32548752,-0.44710948286497
7,84,0.32548752,-0.7065626042752242
8,85,0.32548752,-0.2914376100188175
9,104,0.32548752,-0.49611729468690696
10,105,0.32548752,-0.6633204173735151
11,115,0.32548752,-0.6921485419746545
12,123,0.32548752,-0.8276407276000095
13,133,0.32548752,0.5157498788130843
14,4,0.3247803,-0.8305235400601234
15,16,-0.061359584,-0.34909385922109626
16,18,-0.5525294,-0.18765636145471581
17,19,-0.7739102,-0.7325079164162497
18,27,0.14760882,-0.39810167104303323
19,31,-0.42175645,0.41773425516921037
20,36,0.15798438,0.36584363088715965
21,42,-0.7465467,-0.9054766640230858
22,56,0.9769568,1.985984233471191
23,89,0.2262044,-0.020453238768107656
24,100,0.95285404,-0.6662032298336291
25,109,-0.34547347,-0.8478204148208071
26,125,-0.9104013,-0.8910626017225161
27,132,-0.45712894,-0.7930469780786422
28,0,-0.6466962,-0.3289141720002986
29,10,-0.6466962,0.4725076919113753
30,11,-0.6466962,-0.9573672883051366
31,24,-0.6466962,-0.8680001020416046
32,40,-0.6466962,-0.6633204173735151
33,51,-0.6466962,1.985984233471191
34,62,-0.6466962,-0.7815157282381865
35,76,-0.6466962,1.2335701813814544
36,78,-0.6466962,0.5676405030951351
37,98,-0.6466962,-0.18189073653448806
38,101,-0.6466962,-0.42116417072394463
39,114,-0.6466962,-0.8132266652994399
40,117,-0.6466962,-0.9775469755259343
41,130,-0.6466962,-0.6979141668948824
42,15,-0.3729584,-0.3635079215216659
43,22,-0.3729584,1.985984233471191
44,30,-0.3729584,-0.9112422889433136
45,39,-0.3729584,-0.7699844783977309
46,44,-0.3729584,0.6541248768985531
47,47,-0.3729584,-0.9516016633849087
48,55,-0.3729584,1.985984233471191
49,60,-0.3729584,-0.6431407301527177
50,73,-0.3729584,-0.3289141720002986
51,80,-0.3729584,-0.20783604867551345
52,86,-0.3729584,1.985984233471191
53,93,-0.3729584,1.985984233471191
