,Unnamed: 0,accession_id,phenotype_value
0,0,1,4.638615001759718
1,1,2,23.61269047341144
2,2,4,20.46145079164846
3,3,6,-11.374949423815476
4,4,7,-14.665065606460866
5,5,8,-11.30471622018978
6,6,9,-16.459447396750107
7,7,12,-14.2173126358166
8,8,23,16.360493343870843
9,9,32,10.12129653588844
10,10,45,1.8623142509645063
11,11,51,0.0125219661693055
12,12,60,-11.170148169160816
13,13,62,32.61365105511274
14,14,66,-4.638142485820713
15,15,69,-8.164842734023692
16,16,74,-13.022774486205424
17,17,79,-3.543090645468326
18,18,80,14.89130442706643
19,19,81,-16.45175224704049
20,20,83,-6.178272684684832
21,21,84,-16.261678246069422
22,22,85,19.503851749425912
23,23,86,3.046990837256805
24,24,87,11.600139133622788
25,25,88,-13.823650191284235
26,26,89,-8.248388856664622
27,27,91,1.7695646627421984
28,28,94,68.66882991811835
29,29,96,-19.529316935714945
30,30,104,-9.930286686270696
31,31,106,22.59113569772876
32,32,116,-8.498557800713936
33,33,121,-18.1660727094922
34,34,122,-12.54622254509824
35,35,126,3.095795747096222
36,36,137,-16.44576713059968
37,37,146,14.226354665968238
38,38,148,51.01279458755797
39,39,149,1.6055020759418557
40,40,151,-3.974939613182981
41,41,153,-13.36510953492311
42,42,157,-14.20401848465297
43,43,159,-14.20383384366459
44,44,160,-11.162892542515646
45,45,163,-4.870173669533903
46,46,165,-11.73275189205776
47,47,166,-15.074337395446593
48,48,167,-13.360720045962063
49,49,169,-0.1694508020336203
50,50,170,17.898328475541792
51,51,173,-11.162021867318224
52,52,174,-16.441705801586266
53,53,175,-14.202356715757515
54,54,178,-12.42997055227594
55,55,179,-11.161586529719514
56,56,183,-12.13706163758887
57,57,184,-14.2014335108156
58,58,185,-18.158517851470577
59,59,187,2.5746483658285384
60,60,188,-16.440209522476067
61,61,190,-14.20087958785045
62,62,191,-16.439995768317463
63,63,194,-19.516882368063744
64,64,196,2.7888988614688888
65,65,198,-8.758265108674344
66,66,200,-5.920189038813116
67,67,202,-16.438713243365864
68,68,203,-11.159845179324677
69,69,204,-11.15970006679177
70,70,205,13.089735424235547
71,71,206,25.71217012678981
72,72,207,-14.19940245994338
73,73,208,-19.02148509358806
74,74,210,5.461450943404918
75,75,212,-13.325531199472453
76,76,213,-14.198848536978224
77,77,214,1.2189738214901435
78,78,215,-11.158974504127254
79,79,216,-5.853088947147701
80,80,217,-14.198479255001455
81,81,219,-14.198294614013074
82,82,222,-16.43657570177986
83,83,223,-16.43657570177986
84,84,224,-4.758879221720766
85,85,230,-11.157813603864026
86,86,231,-11.157813603864026
87,87,236,-14.196632845117618
88,88,252,-5.292714828344934
89,89,262,-11.155491803337569
90,90,263,-1.700554757312548
91,91,267,23.04207820156561
92,92,269,-3.3638354290873056
93,93,273,-14.193309307326713
94,94,282,-14.192386102384791
95,95,287,-11.153750452942727
96,96,288,-11.153605340409827
97,97,295,-11.153170002811116
98,98,296,-11.153024890278212
99,99,314,-14.189431846570653
100,100,318,-11.84892821576677
101,101,320,-11.151283539883371
102,102,321,14.197898144681949
103,103,323,-9.31209875080933
104,104,326,-11.15084820228466
105,105,327,-16.425460485532632
106,106,328,-14.188139359651965
107,107,332,19.397844092156983
108,108,334,-18.140811152982387
109,109,338,-0.4486757139358503
110,110,339,-11.14997752708724
111,111,340,14.369066640430884
112,112,341,-11.149832414554336
113,113,346,-5.137805785931874
114,114,347,-11.149397076955625
115,115,348,-9.368968309059523
116,116,349,1.9488479942357453
117,117,355,-19.49658103312301
118,118,357,3.987604950646925
119,119,359,-11.148526401758206
120,120,361,-11.148381289225304
121,121,363,19.25324723924704
122,122,364,1.108508134837782
123,123,366,22.029809413242354
124,124,367,-16.42118540236062
125,125,368,53.14468634613573
126,126,369,-8.682181537087468
127,127,371,37.578356650668674
128,128,372,-18.136325456032043
129,129,374,-19.494043366255436
130,130,375,-14.183892616919142
131,131,377,3.16859519717479
132,132,378,-7.338702777227077
133,133,379,48.14745603243794
134,134,380,-14.183338693953988
135,135,383,-12.801317720120007
136,136,385,-11.146639938830464
137,137,386,-11.31680137686826
138,138,387,-11.474727425926568
139,139,389,-18.13443674152664
140,140,390,176.67746519782335
141,141,391,-14.182415489012069
142,142,392,110.41100560723427
143,143,393,-4.436268372729899
144,144,396,27.591257500352476
145,145,397,198.76660689198977
146,146,466,-14.175399131453483
147,147,992,-11.102525728827818
148,148,996,-11.102235503762012
149,149,998,-14.1262846285434
150,150,1026,-14.12369965470602
151,151,1061,-16.34701270932626
152,152,1062,-18.0548746429864
153,153,1063,-14.120376116915116
154,154,1064,-16.34658520100906
155,155,1068,-16.34615769269186
156,156,1070,-11.096866340044585
157,157,1072,-14.119452911973193
158,158,1073,-11.09672122751168
159,159,1075,-14.119268270984811
160,160,1158,-11.090481388596835
161,161,1163,-11.090191163531026
162,162,1166,-11.08990093846522
163,163,1169,-14.110590144530772
164,164,1247,-16.32713357257642
165,165,1254,-16.326278555942018
166,166,1256,-18.031973979608345
167,167,1257,-16.326064801783417
168,168,1312,-14.097295993367142
169,169,1313,-16.320079685342606
170,170,1317,-16.319652177025404
171,171,1318,-19.374265490105152
172,172,1360,-15.860938419708411
173,173,1362,-10.264696573697805
174,174,1363,-16.31473583137759
175,175,1366,-16.31430832306039
176,176,1374,-11.074809235043263
177,177,1391,-18.016155995625567
178,178,1404,-18.01450337043333
179,179,1435,147.7995134926831
180,180,1552,-17.997032761258325
181,181,1585,-16.291009119772934
182,182,4632,-14.961035000788575
183,183,4675,14.091526749624984
184,184,4757,-10.829423941903558
185,185,4820,-13.773435699741968
186,186,4827,-13.13459735784946
187,187,4879,-13.768081111078844
188,188,4927,-9.718348850387043
189,189,4935,-10.816508926475157
190,190,5106,-4.2848722387745495
191,191,5141,-17.57348853342094
192,192,5145,-13.743523859623798
193,193,5146,-10.801126997987392
194,194,5175,-0.5476306823393904
195,195,5282,1.2133175252688468
196,196,5292,-10.790533783085442
197,197,5310,-13.72819865758794
198,198,5322,-10.788357095091888
199,199,5335,10.551910756770706
200,200,5337,-5.877567480072799
201,201,5350,-8.804662468660416
202,202,5364,-8.682705425751072
203,203,5373,-13.72247478694804
204,204,5377,-13.722105504971273
205,205,5394,16.028494767317238
206,206,5398,0.6726333580976047
207,207,5444,-13.715827711366224
208,208,5450,-13.715273788401076
209,209,5466,-17.535005975373284
210,210,5536,0.0245947300878743
211,211,5582,-10.769492465814444
212,212,5645,33.91074765498504
213,213,5678,-10.762527064235078
214,214,5708,-13.691455100899564
215,215,5709,90.33653942020204
216,216,5710,3.5271288153343394
217,217,5711,56.70836205760229
218,218,5713,81.88967001468801
219,219,5715,-11.979110297801158
220,220,5716,-3.691132547322423
221,221,5717,23.38136762388216
222,222,5720,-13.690347254969264
223,223,5721,44.108187231543184
224,224,5722,-10.759334588511203
225,225,5723,5.064162157782548
226,226,5724,24.251285278456223
227,227,5733,-10.758609025846685
228,228,5735,-13.689054768050578
229,229,5737,-0.5093771305053929
230,230,5738,-13.688685486073812
231,231,5741,-10.758028575715072
232,232,5742,-17.50242565015503
233,233,5744,-10.757738350649266
234,234,5746,-15.84618671572537
235,235,5749,-5.31737298583388
236,236,5751,-0.0773140473747545
237,237,5756,-10.756867675451844
238,238,5759,-13.686839076189973
239,239,5762,-10.756432337853134
240,240,5767,-9.632826385442293
241,241,5769,-13.68591587124805
242,242,5770,6.219196781108906
243,243,5772,-15.843407911663563
244,244,5774,0.4204696362299208
245,245,5777,-15.842980403346363
246,246,5780,61.08458980624309
247,247,5781,-13.684808025317754
248,248,5782,8.681301071430763
249,249,5784,-15.84212538671196
250,250,5787,33.224119066624475
251,251,5788,15.051404329030277
252,252,5789,-10.75454587492539
253,253,5792,89.7004893592157
254,254,5793,24.08965474623057
255,255,5795,-13.683515538399062
256,256,5798,-10.753820312260869
257,257,5799,-2.9822547674592097
258,258,5802,-8.38998604373385
259,259,5804,44.01999609987749
260,260,5812,-1.1422894097975496
261,261,5816,-15.838705320174356
262,262,5817,-17.49369034556751
263,263,5819,-15.838491566015753
264,264,5821,-18.803036678210503
265,265,5826,-13.680561282584923
266,266,5831,-15.837209041064153
267,267,5832,-10.751353399201514
268,268,5835,98.0991020250929
269,269,5836,229.10850572428504
270,270,5856,-5.979151565700335
271,271,5860,-7.748784254892505
272,272,5867,-13.676868462817248
273,273,5870,-10.748596261076347
274,274,6008,-13.663758952642002
275,275,6010,-3.1524492162040048
276,276,6011,-15.817971166790116
277,277,6012,-13.663389670665232
278,278,6013,-13.663389670665232
279,279,6016,-10.7380030461744
280,280,6017,-6.016358479036864
281,281,6019,-10.737857933641497
282,282,6020,-15.816902395997108
283,283,6021,-13.662651106711696
284,284,6022,-13.66246646572331
285,285,6024,368.20649265574383
286,286,6025,-13.662281824734928
287,287,6030,-13.661727901769778
288,288,6034,-18.775883642727287
289,289,6036,-15.81519236272831
290,290,6038,-10.73640680831246
291,291,6039,14.696614570297568
292,292,6040,264.17771861729267
293,293,6041,-13.660804696827858
294,294,6042,70.39290571482023
295,295,6043,-15.814551100252505
296,296,6046,-17.466540074552302
297,297,6064,-15.812199804507896
298,298,6069,-17.463943092107364
299,299,6074,-17.46323482416784
300,300,6076,2.957610971918318
301,301,6077,45.45560044683133
302,302,6085,-10.73306922005568
303,303,6086,-17.039780079585245
304,304,6087,-10.732924107522775
305,305,6090,23.07650740986961
306,306,6091,36.40951424239648
307,307,6092,-17.461110020349256
308,308,6093,-10.732488769924066
309,309,6094,33.90532235875151
310,310,6095,-15.808993492128891
311,311,6096,-13.655634749153114
312,312,6097,-19.828498646556348
313,313,6098,-11.458043401478196
314,314,6099,-18.767763108751
315,315,6100,-19.82796243514538
316,316,6101,-17.460165663096557
317,317,6102,-20.70514848519529
318,318,6103,157.50100759341066
319,319,6104,286.2269563769401
320,320,6106,-15.807710967177286
321,321,6107,-18.766748042003957
322,322,6108,-10.869047161589474
323,323,6109,-19.82689001232343
324,324,6111,-18.76624050863044
325,325,6112,-19.826353800912468
326,326,6114,-17.458513037904325
327,327,6115,-17.458513037904325
328,328,6116,-17.45827694859115
329,329,6118,59.53131251299341
330,330,6119,-15.80642844222569
331,331,6120,-15.806214688067088
332,332,6121,-17.457804769964795
333,333,6122,28.90704387931237
334,334,6123,-18.76471790850989
335,335,6124,-18.764464141823133
336,336,6125,77.67105886047848
337,337,6126,-18.76421037513637
338,338,6127,-13.652865134327351
339,339,6128,-6.216434674600764
340,340,6129,9.282389411472373
341,341,6131,4.510531163498041
342,342,6132,-17.45638823408574
343,343,6133,-10.729586519266
344,344,6134,-15.804718408956882
345,345,6136,324.0397028241572
346,346,6137,69.61920241527821
347,347,6138,-13.651757288397054
348,348,6140,182.44800119109584
349,349,6141,-15.80407714648108
350,350,6142,162.4484087116991
351,351,6143,93.44606188586135
352,352,6144,145.47698254675154
353,353,6147,-17.454735608893508
354,354,6151,-17.454263430267158
355,355,6154,-17.453791251640805
356,356,6163,-17.45284689438811
357,357,6166,-17.45237471576176
358,358,6169,-17.452138626448573
359,359,6170,-17.451902537135393
360,360,6171,-15.800870834102074
361,361,6172,-17.45166644782222
362,362,6173,-10.72668426860793
363,363,6174,-15.800443325784872
364,364,6177,-10.726394043542124
365,365,6180,0.0747958143322084
366,366,6184,-17.45024991194317
367,367,6189,-17.44977773331682
368,368,6191,-17.449541644003645
369,369,6192,-10.725233143278896
370,370,6193,-13.646771981710687
371,371,6194,-18.755582307786558
372,372,6195,-15.798305784198869
373,373,6197,-15.798092030040268
374,374,6198,-10.724797805680184
375,375,6199,-18.75507477441304
376,376,6200,-17.448361197437762
377,377,6201,-15.797664521723068
378,378,6202,-15.797450767564468
379,379,6203,-13.645848776768773
380,380,6207,-13.645479494792006
381,381,6209,-13.64529485380362
382,382,6210,-10.723927130482766
383,383,6212,-18.753298407605723
384,384,6214,-15.79616824261286
385,385,6215,-10.723636905416958
386,386,6216,-17.446472482932357
387,387,6217,-15.795954488454262
388,388,6218,-7.132614551889935
389,389,6220,-15.795526980137058
390,390,6221,-18.752283340858693
391,391,6226,-13.643633084908169
392,392,6237,-13.642709879966244
393,393,6241,-10.721750442489212
394,394,6242,-18.74949190730434
395,395,6243,-17.443403321861066
396,396,6244,-19.808658824350456
397,397,6252,-13.641232752059176
398,398,6255,-17.44198678598202
399,399,6258,-15.791465651123652
400,400,6268,-13.639755624152109
401,401,6276,-10.719138416896952
402,402,6284,-18.7441628068824
403,403,6411,-13.626646113976856
404,404,6412,-17.423335730241128
405,405,6413,-17.423335730241128
406,406,6898,-15.723064320371504
407,407,6901,-10.67386330663108
408,408,6903,-10.673718194098177
409,409,6905,-8.374995237317275
410,410,6906,-10.673427969032373
411,411,6907,-10.673427969032373
412,412,6913,-13.580301225892525
413,413,6914,-15.7213542871027
414,414,6916,96.34294585269008
415,415,6917,-10.672702406367854
416,416,6918,-15.720926778785495
417,417,6919,-10.672557293834949
418,418,6921,-10.672412181302048
419,419,6922,-10.672267068769145
420,420,6930,-10.671686618637532
421,421,6937,-13.57808553403192
422,422,6940,-10.670961055973011
423,423,6942,-10.67081594344011
424,424,6946,-13.57716232909
425,425,6951,-10.670235493308496
426,426,6956,-10.669800155709789
427,427,6958,-17.358883347744136
428,428,6959,-10.669655043176885
